age,p1,p2.5,p5,p50,p75
64.42,995157.75,1291288.52,1670466.61,5169128.45,8150720.63
64.5,1007778.69,1305530.12,1664399.53,5205528.6,8179507.38
64.58,1006410.67,1299407.85,1665542.14,5208209.38,8257628.66
64.67,993730.41,1305202.18,1651028.58,5201107.93,8276966.47
64.75,1001938.01,1302155.26,1658024.13,5214860.16,8298389.9
64.83,1000130.8,1310663.56,1664631.67,5226377.4,8337744.47
64.92,996271.05,1329781.36,1662020.15,5246416.72,8382693.15
65.0,1004379.05,1319934.61,1660522.86,5259260.02,8385366.19
65.08,991691.69,1312536.03,1652242.99,5274939.76,8441659.63
65.17,985366.74,1310109.02,1662170.85,5300126.18,8492417.02
65.25,981630.8,1303745.26,1656697.88,5323936.44,8511332.4
65.33,998131.4,1300600.24,1645581.87,5339044.84,8586217.73
65.42,989785.72,1305344.73,1651973.22,5365919.2,8622747.17
65.5,1007572.33,1311607.95,1645431.9,5386563.31,8630134.75
65.58,1005276.57,1307332.77,1634047.98,5414081.24,8701424.33
65.67,996113.35,1306103.08,1642851.75,5451644.17,8760078.52
65.75,988323.22,1300836.28,1650815.22,5474272.94,8799489.34
65.83,970361.71,1298198.27,1642909.57,5517954.12,8874440.74
65.92,975562.56,1304009.36,1647196.88,5514212.51,8901865.23
66.0,979943.22,1283977.48,1651998.01,5535305.57,8937475.98
66.08,974182.85,1295860.57,1649360.18,5564530.82,8959816.04
66.17,972812.73,1287292.28,1649676.49,5573729.39,8966239.57
66.25,978766.6,1289358.28,1659761.64,5614116.43,9018223.62
66.33,976651.36,1301061.76,1655129.41,5624253.2,9100443.81
66.42,981097.37,1302820.72,1653112.65,5640339.82,9113163.15
66.5,962472.1,1298157.45,1652156.7,5686585.17,9140655.51
66.58,979187.75,1299700.84,1639336.43,5685005.56,9153116.51
66.67,980171.49,1300853.16,1647264.39,5710372.0,9194728.39
66.75,987361.09,1294352.96,1660048.43,5740460.51,9220523.63
66.83,979593.26,1294069.34,1660452.23,5742127.86,9240802.18
66.92,968577.91,1285150.79,1665324.88,5765042.21,9273263.85
67.0,967195.57,1276980.69,1658719.14,5773497.24,9295921.2
